category,demangled_name,mangled_name,kind,module_or_source,address_or_rva,notes
frontend_gui,CButtonObserverGlue<CCharacterSelectionView::CCharViewEntry>::~CButtonObserverGlue<CCharacterSelectionView::CCharViewEntry>,,GPROC32,characterselectionview.obj,0x00974BE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CButtonObserverGlue<CCharacterSelectionView::CCharViewEntry>::CButtonObserverGlue<CCharacterSelectionView::CCharViewEntry>,,GPROC32,characterselectionview.obj,0x009DBE60,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=124
frontend_gui,CCharacterSelectionView::SetListWindow,,GPROC32,characterselectionview.obj,0x006002A0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=177
frontend_gui,CWindowObserverGlue<CCharacterSelectionView>::~CWindowObserverGlue<CCharacterSelectionView>,,GPROC32,characterselectionview.obj,0x0056EDB0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CWindowObserverGlue<CCharacterSelectionView>::`scalar deleting destructor',,GPROC32,characterselectionview.obj,0x00578390,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=34
frontend_gui,CButtonObserverGlue<CCharacterSelectionView>::`scalar deleting destructor',,GPROC32,characterselectionview.obj,0x009603B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=34
frontend_gui,CButtonObserverGlue<CCharacterSelectionView::CCharViewEntry>::`scalar deleting destructor',,GPROC32,characterselectionview.obj,0x009603B0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=34
precursor,CCharacterSelectionView::GetRulerTiesScore,,GPROC32,characterselectionview.obj,0x00602830,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=317
serialization,CCKApplication::GetMetaserverVersion,,GPROC32,ck_application.obj,0x00657CE0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=7
frontend_gui,CFrontEndView::ResetScreen,,GPROC32,contentview.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CFrontEndView::NotifyLoadStart,,GPROC32,contentview.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CFrontEndView::AddSave,,GPROC32,contentview.obj,0x00B384F0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=3
frontend_gui,CFrontEndView::ClearBookmark,,GPROC32,contentview.obj,0x00DAD8C0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=1
frontend_gui,CFrontEndView::GetBookMarkNameSelected,,GPROC32,contentview.obj,0x006600D0,pdb=ck2game.pdb (2.6.1.1; EXE-matched);len=6
